zone_id,counter,date,day_of_week,is_weekend,month,is_summer,temperature_f,precip_chance,nearby_event_type,base_foot_traffic,foot_traffic
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-08,1,0,10,0,61.9,0.63,none,3700,2548
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-09,2,0,10,0,57.0,0.08,none,3700,4097
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-10,3,0,10,0,53.2,0.0,none,3700,3886
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-11,4,0,10,0,53.0,0.0,none,3700,2730
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-12,5,1,10,0,55.2,0.0,none,3700,4570
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-13,6,1,10,0,59.5,0.0,none,3700,4682
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-14,0,0,10,0,60.9,0.26,none,3700,2572
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-15,1,0,10,0,54.1,0.17,none,3700,2576
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-16,2,0,10,0,53.0,0.25,none,3700,3009
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-17,3,0,10,0,50.7,0.11,none,3700,2789
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-18,4,0,10,0,49.9,0.58,none,3700,1928
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-19,5,1,10,0,57.8,1.0,none,3700,2435
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-20,6,1,10,0,59.4,0.46,none,3700,2872
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-21,0,0,10,0,52.2,0.43,none,3700,2305
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-22,1,0,10,0,50.1,0.0,none,3700,3817
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-23,2,0,10,0,48.2,0.09,none,3700,2962
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-24,3,0,10,0,49.7,0.0,none,3700,3292
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-25,4,0,10,0,52.0,0.0,none,3700,2786
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-26,5,1,10,0,58.0,1.0,none,3700,2095
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-27,6,1,10,0,52.7,1.0,none,3700,1217
belltown,Elliott Bay Trail (Myrtle Edwards),2024-10-28,0,0,10,0,51.0,0.05,none,3700,429
